行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,劍潭捷運站,1號公車站,121.5246447,25.0844107,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,235號對面,121.5267859,25.0907239,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,251號對面,121.526815,25.090956,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,士林120號綠地旁,121.5204516,25.0930239,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,士林120號綠地旁,121.5208084,25.0927741,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,349巷口,121.522314,25.094329,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,345號前,121.522634,25.094441,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,333號前,121.523073,25.094566,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,255號前,121.5250462,25.0951326,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,412號對面,121.5248232,25.0941491,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,410號對面,121.524866,25.094032,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士林捷運站,2號出口對面,121.5260722,25.0926945,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,408號前,121.52038,25.093843,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號前,121.520501,25.092603,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,31號對面,121.524304,25.0870315,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,5號對面,121.524118,25.087085,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,台北藝術中心(三),121.524812,25.085885,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍潭捷運站,1號出口,121.525077,25.084873,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,235號對面,121.526994,25.090798,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,404巷對面,121.524769,25.093618,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,247號對面,121.5228158,25.0944049,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路劍潭捷運站,1號十字路口 電桿編號:R1801,121.5250016,25.0857988,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,425號對面,121.5203623,25.0935002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,四段177號,121.5233065,25.0858034,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,四段177號,121.5228604,25.0869031,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段與通河街口,121.5250462,25.0792186,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,189號科教館,121.516028,25.095847,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,189號科教館,121.516028,25.095847,嚴禁投入家用垃圾，違者重罰新台幣6000元
